                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2015 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                              Generated by UCC v.2015.12 on 5 30 2016                              
                              UCC -d -dir ./src ../UCC_old/src -ascii                              

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
 Total_CC1 Total_CC2 Total_CC3 Average_CC1  Risk        |   Name
        14           21           14   Medium      int CJavascriptCounter::ReplaceQuote                           |   ../UCC_old/src/CJavascriptCounter.cpp
        17           19           17   Medium      int CJavascriptCounter::CountDirectiveSLOC                     |   ../UCC_old/src/CJavascriptCounter.cpp
         7            7            7   Low         int CJavascriptCounter::LanguageSpecificProcess                |   ../UCC_old/src/CJavascriptCounter.cpp
        59           83           55   Very High   void CJavascriptCounter::LSLOC                                 |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CJavascriptPhpCounter::CJavascriptPhpCounter                   |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CJavascriptHtmlCounter::CJavascriptHtmlCounter                 |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CJavascriptXmlCounter::CJavascriptXmlCounter                   |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CJavascriptJspCounter::CJavascriptJspCounter                   |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CJavascriptAspServerCounter::CJavascriptAspServerCounter       |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CJavascriptAspClientCounter::CJavascriptAspClientCounter       |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CJavascriptColdFusionCounter::CJavascriptColdFusionCounter     |   ../UCC_old/src/CJavascriptCounter.cpp
        26           35           26   High        int CJavascriptCounter::ParseFunctionName                      |   ../UCC_old/src/CJavascriptCounter.cpp
         1            1            1   Low         CMakefileCounter::CMakefileCounter                             |   ../UCC_old/src/CMakefileCounter.cpp
        14           15           14   Medium      int CMakefileCounter::CountDirectiveSLOC                       |   ../UCC_old/src/CMakefileCounter.cpp
         4            4            4   Low         int CMakefileCounter::LanguageSpecificProcess                  |   ../UCC_old/src/CMakefileCounter.cpp
         6            9            6   Low         void CMakefileCounter::LSLOC                                   |   ../UCC_old/src/CMakefileCounter.cpp
         1            1            1   Low         CMatlabCounter::CMatlabCounter                                 |   ../UCC_old/src/CMatlabCounter.cpp
        14           17           14   Medium      int CMatlabCounter::CountDirectiveSLOC                         |   ../UCC_old/src/CMatlabCounter.cpp
         4            4            4   Low         int CMatlabCounter::LanguageSpecificProcess                    |   ../UCC_old/src/CMatlabCounter.cpp
        30           39           23   High        void CMatlabCounter::LSLOC                                     |   ../UCC_old/src/CMatlabCounter.cpp
        15           16           15   Medium      int CMatlabCounter::ParseFunctionName                          |   ../UCC_old/src/CMatlabCounter.cpp
         1            1            1   Low         CMidasCounter::CMidasCounter                                   |   ../UCC_old/src/CMidasCounter.cpp
        15           16           15   Medium      int CMidasCounter::CountDirectiveSLOC                          |   ../UCC_old/src/CMidasCounter.cpp
         4            4            4   Low         int CMidasCounter::LanguageSpecificProcess                     |   ../UCC_old/src/CMidasCounter.cpp
        36           44           36   High        void CMidasCounter::LSLOC                                      |   ../UCC_old/src/CMidasCounter.cpp
